2024-10-08 22:09:36,325 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-08 22:09:36,573 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProyectoMaven:ProyectoExa:0.0.1-SNAPSHOT @ C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\pom.xml.
2024-10-08 22:09:37,448 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/main/java
2024-10-08 22:09:37,449 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoExa/src/main/resources
2024-10-08 22:09:37,450 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/test/java
2024-10-08 22:09:38,195 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ProyectoExa
2024-10-08 22:09:38,198 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2024-10-08 22:09:38,617 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:09:38,618 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-08 22:09:38,620 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:09:38,620 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\src\test\resources
2024-10-08 22:09:38,621 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ProyectoExa
2024-10-08 22:09:38,621 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ProyectoExa
2024-10-08 22:09:38,622 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 22:11:20,306 [Worker-33] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-10-08 22:11:20,593 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProyectoMaven:ProyectoExa:0.0.1-SNAPSHOT @ C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\pom.xml.
2024-10-08 22:11:21,406 [Worker-33] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/main/java
